total_ingresos,produccion_total,hectareas,gastos_insumos,pago_jornales,gastos_servicios,valor_maquinaria,dinero_disponible,gastos_imprevistos,total_deudas,dias_trabajo,trabajadores,horas_venta,horas_supervision,lugar_comercializacion,comentarios,fecha_captura,utilidad_bruta,utilidad_neta,activos_totales,patrimonio_neto,costo_por_unidad,margen_ganancia,razon_endeudamiento,productividad_por_hectarea
20000,150,5,6000,4000,1000,30000,2000,3000,10000,60,3,10,3,Centro de acopio,Crédito,01/03/2025,6000,-4000,32000,22000,93.33333333,30,0.3125,30
20257,150,5,5864,4398,2034,30000,2548,2057,11800,60,3,10,3,Centro de acopio,Crédito,02/03/2025,2381,2769,2021,20418,93.33333333,30,0.3125,30
21828,191,5,7112,2691,2284,30000,2685,2617,11906,60,3,10,3,Centro de acopio,Crédito,03/03/2025,2546,2165,2710,24945,93.33333333,30,0.3125,30
21636,114,5,9528,2954,2702,30000,2497,2356,11753,60,3,10,3,Centro de acopio,Crédito,04/03/2025,2510,2080,2670,28786,93.33333333,30,0.3125,30
23477,102,5,831,3804,2649,30000,2219,2940,10628,60,3,10,3,Centro de acopio,Crédito,05/03/2025,2304,2755,2139,23676,93.33333333,30,0.3125,30
24775,130,5,9250,4172,2887,30000,2463,2931,11271,60,3,10,3,Centro de acopio,Crédito,06/03/2025,2818,2268,2815,29699,93.33333333,30,0.3125,30
33572,117,5,2543,3665,2588,30000,2166,2693,10643,60,3,10,3,Centro de acopio,Crédito,07/03/2025,2080,2700,2772,22069,93.33333333,30,0.3125,30
27548,190,5,1373,2309,2985,30000,2961,2803,12697,60,3,10,3,Centro de acopio,Crédito,08/03/2025,2001,2042,2317,24753,93.33333333,30,0.3125,30
24588,80,5,2608,2168,2508,30000,2909,2842,11642,60,3,10,3,Centro de acopio,Crédito,09/03/2025,2711,2547,2050,23129,93.33333333,30,0.3125,30
27871,122,5,3195,2821,2727,30000,2407,2626,11179,60,3,10,3,Centro de acopio,Crédito,10/03/2025,2880,2681,2097,23692,93.33333333,30,0.3125,30
30169,189,5,11535,3940,2918,30000,2994,2303,10393,60,3,10,3,Centro de acopio,Crédito,11/03/2025,2709,2415,2569,24305,93.33333333,30,0.3125,30
33310,162,5,10332,4874,2160,30000,2741,2472,10449,60,3,10,3,Centro de acopio,Crédito,12/03/2025,2197,2763,2654,29340,93.33333333,30,0.3125,30
